"Date","Price","Volume"
"08/08/2023 16:00","13.49","341,376"
"08/08/2023 15:59","13.505","147,938"
"08/08/2023 15:58","13.5","250,151"
"08/08/2023 15:57","13.505","135,132"
"08/08/2023 15:56","13.495","124,248"
"08/08/2023 15:55","13.485","65,853"
"08/08/2023 15:54","13.48","51,113"
"08/08/2023 15:53","13.485","42,725"
"08/08/2023 15:52","13.485","23,033"
"08/08/2023 15:51","13.49","82,193"
"08/08/2023 15:50","13.485","19,860"
"08/08/2023 15:49","13.48","14,915"
"08/08/2023 15:48","13.49","42,423"
"08/08/2023 15:47","13.495","7,362"
"08/08/2023 15:46","13.49","32,152"
"08/08/2023 15:45","13.5","10,562"
"08/08/2023 15:44","13.495","8,006"
"08/08/2023 15:43","13.495","17,548"
"08/08/2023 15:42","13.495","40,983"
"08/08/2023 15:41","13.485","34,172"
"08/08/2023 15:40","13.495","3,589"
"08/08/2023 15:39","13.495","60,979"
"08/08/2023 15:38","13.495","6,532"
"08/08/2023 15:37","13.495","14,831"
"08/08/2023 15:36","13.4985","78,463"
"08/08/2023 15:35","13.4819","29,914"
"08/08/2023 15:34","13.495","12,907"
"08/08/2023 15:33","13.495","15,076"
"08/08/2023 15:32","13.4923","6,710"
"08/08/2023 15:31","13.495","27,246"
"08/08/2023 15:30","13.505","52,944"
"08/08/2023 15:29","13.52","11,233"
"08/08/2023 15:28","13.53","3,319"
"08/08/2023 15:27","13.525","13,076"
"08/08/2023 15:26","13.5342","45,264"
"08/08/2023 15:25","13.535","8,544"
"08/08/2023 15:24","13.53","2,712"
"08/08/2023 15:23","13.525","93,518"
"08/08/2023 15:22","13.52","35,590"
"08/08/2023 15:21","13.52","19,417"
"08/08/2023 15:20","13.515","28,502"
"08/08/2023 15:19","13.515","7,349"
"08/08/2023 15:18","13.52","23,335"
"08/08/2023 15:17","13.515","18,120"
"08/08/2023 15:16","13.525","48,562"
"08/08/2023 15:15","13.54","26,111"
"08/08/2023 15:14","13.542","69,280"
"08/08/2023 15:13","13.545","15,816"
"08/08/2023 15:12","13.545","10,522"
"08/08/2023 15:11","13.545","22,965"
"08/08/2023 15:10","13.5325","3,258"
"08/08/2023 15:09","13.535","7,908"
"08/08/2023 15:08","13.535","17,019"
"08/08/2023 15:07","13.525","49,052"
"08/08/2023 15:06","13.545","43,892"
"08/08/2023 15:05","13.535","23,046"
"08/08/2023 15:04","13.5408","34,304"
"08/08/2023 15:03","13.5399","34,882"
"08/08/2023 15:02","13.535","14,411"
"08/08/2023 15:01","13.5277","43,866"
"08/08/2023 15:00","13.5325","22,724"
"08/08/2023 14:59","13.535","4,207"
"08/08/2023 14:58","13.535","28,422"
"08/08/2023 14:57","13.55","21,912"
"08/08/2023 14:56","13.54","20,436"
"08/08/2023 14:55","13.53","11,537"
"08/08/2023 14:54","13.525","32,583"
"08/08/2023 14:53","13.53","50,850"
"08/08/2023 14:52","13.53","20,235"
"08/08/2023 14:51","13.52","20,467"
"08/08/2023 14:50","13.515","22,414"
"08/08/2023 14:49","13.5095","14,445"
"08/08/2023 14:48","13.505","22,602"
"08/08/2023 14:47","13.515","1,981"
"08/08/2023 14:46","13.515","31,136"
"08/08/2023 14:45","13.51","4,364"
"08/08/2023 14:44","13.5099","49,622"
"08/08/2023 14:43","13.5208","14,240"
"08/08/2023 14:42","13.525","37,639"
"08/08/2023 14:41","13.525","33,655"
"08/08/2023 14:40","13.53","26,348"
"08/08/2023 14:39","13.53","15,366"
"08/08/2023 14:38","13.5274","271,887"
"08/08/2023 14:37","13.535","3,119"
"08/08/2023 14:36","13.5399","8,135"
"08/08/2023 14:35","13.535","9,749"
"08/08/2023 14:34","13.525","7,745"